AnimalName,Symptoms1,Symptoms2,Symptoms3,Symptoms4,Symptoms5,AnimalGroup,Diel Activity,Mean Body Temperature (°C),Dangerous
cat,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Mammals,Diurnal,37.3 °C,Yes
cat,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Mammals,Diurnal,37.3 °C,Yes
cat,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Mammals,Diurnal,37.3 °C,Yes
cat,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Mammals,Diurnal,37.3 °C,Yes
cat,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Mammals,Diurnal,37.3 °C,Yes
cat,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Mammals,Diurnal,37.3 °C,Yes
cat,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Mammals,Diurnal,37.3 °C,Yes
cat,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue,Mammals,Diurnal,37.3 °C,Yes
cat,Ulcers,Lesions,Scabs,Lumps,"Bumps(black,grey or red)",Mammals,Diurnal,37.3 °C,Yes
cat,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss,Mammals,Diurnal,37.3 °C,Yes
cat,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Mammals,Diurnal,37.3 °C,Yes
cat,Loss of eat,Difficulty in breathing,Swelling,Lameness,Neurologic abnormalities,Mammals,Diurnal,37.3 °C,Yes
cat,Nasal Bleeding,Diffulty chewing,Swelling,Weight loss,Anorexia,Mammals,Diurnal,37.3 °C,Yes
cat,Tenderness,Erythema,Swelling,Scartch,Pain,Mammals,Diurnal,37.3 °C,Yes
cat,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Mammals,Diurnal,37.3 °C,Yes
cat,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Mammals,Diurnal,37.3 °C,Yes
cat,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Mammals,Diurnal,37.3 °C,Yes
cat,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Mammals,Diurnal,37.3 °C,Yes
cat,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa,Mammals,Diurnal,37.3 °C,Yes
cat,Exessive Urination,Change in gait,Vomiting,Weight loss,Inability to jump,Mammals,Diurnal,37.3 °C,Yes
cat,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Diarrhea,Vomiting,Cramps,Dehydration,Mammals,Diurnal,37.3 °C,Yes
cat,Fever,Diarrhea,Vomiting,Salivation,Decrease appetite,Mammals,Diurnal,37.3 °C,Yes
cat,Fatty stool,Diarrhea,Vomiting,Weight loss,Pain,Mammals,Diurnal,37.3 °C,Yes
cat,Nausea,Loss of appetite,Vomiting,Firm,Distended stomach,Mammals,Diurnal,37.3 °C,Yes
Deer,Gas,Diarrhea,Abdominal discomfort,Vomiting,Nausea,Mammals,Diurnal,37.3 °C,Yes
Deer,Difficulty in breathing,swelling problem,bleeding from wounds,frequent yawning,anorexia,Mammals,Diurnal,37.3 °C,Yes
Deer,eye discharges,nasal discharge,change their normal behaviour,high body temperature,lameness,Mammals,Diurnal,37.3 °C,Yes
Deer,stop eating,stop drinking,change their normal behaviour,Lameness,Pains,Mammals,Diurnal,37.3 °C,Yes
Deer,stop eating,stop drinking,change their normal behaviour,Weight loss,Pains,Mammals,Diurnal,37.3 °C,Yes
Deer,stop eating,stop drinking,change their normal behaviour,Depression,Pains,Mammals,Diurnal,37.3 °C,Yes
Deer,Fever,Diarrhea,Decreased appetite,Vomiting,Bloody,Mammals,Diurnal,37.3 °C,Yes
Deer,sudden death,high temperature,difficulty breating,Weight loss,trembling,Mammals,Diurnal,37.3 °C,Yes
Deer,feline infections,lymphosarcoma,difficulty breating,stomatitis,anaemia,Mammals,Diurnal,37.3 °C,Yes
Deer,sudden death,high temperature,difficulty breating,Weight loss,trembling,Mammals,Diurnal,37.3 °C,Yes
Deer,sudden death,high temperature,difficulty breating,Aneamia,trembling,Mammals,Diurnal,37.3 °C,Yes
Deer,sudden death,high temperature,difficulty breating,Staggering,trembling,Mammals,Diurnal,37.3 °C,Yes
Deer,changed gait,dull ness,diffuse,difficulty diagnosis,Anemia,Mammals,Diurnal,37.3 °C,Yes
Deer,Drooping ears,Lack of coordination,Drooling,Wasting,Listlessness,Mammals,Diurnal,37.3 °C,Yes
Deer,swelling,nasal discharge,drooling,tiredness,fever,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,Fever,drooling,drooping ears,Mammals,Diurnal,37.3 °C,Yes
Deer,weight loss,dull ness,inappetence,self-isolation,recumbency,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,drooping ears,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,undernutrition,drinking polluted water,listlessness,Staggering,anorexia,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,drooping ears,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,urination problem,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,drooping ears,Mammals,Diurnal,37.3 °C,Yes
Deer,wasting,stumbling,listlessness,drooling,drooping ears,Mammals,Diurnal,37.3 °C,Yes
Deer,weight loss,dull ness,muscles problem,self-isolation,recumbency,Mammals,Diurnal,37.3 °C,Yes
Deer,changed gait,dull ness,muscles problem,Pain,Pains,Mammals,Diurnal,37.3 °C,Yes
Deer,sudden death,high temperature,rapid pulse and heart rates,Depression,trembling,Mammals,Diurnal,37.3 °C,Yes
Deer,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Mammals,Diurnal,37.3 °C,Yes
Deer,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Mammals,Diurnal,37.3 °C,Yes
Deer,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,Mammals,Diurnal,37.3 °C,Yes
Deer,Fever,Tiredness,Swollen kidney,Hematuria,Muscle aches,Mammals,Diurnal,37.3 °C,Yes
Deer,fever,loss of appetite,swollen teats,lameness in affected leg,depression,Mammals,Diurnal,37.3 °C,Yes
Deer,Fever,Severe headache,Vomiting,Coughing,Fatique,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Mammals,Diurnal,37.3 °C,Yes
Dog,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Coughing,Tiredness,Pains,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Inflammed eye,Coughing,Depression,Limping,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Mammals,Diurnal,37.3 °C,Yes
Dog,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Mammals,Diurnal,37.3 °C,Yes
Dog,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Mammals,Diurnal,37.3 °C,Yes
Dog,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Mammals,Diurnal,37.3 °C,Yes
Dog,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Mammals,Diurnal,37.3 °C,Yes
Dog,Jaundice,PneumoniaÂ ,Lession on the skin,pain ,Vomitting,Mammals,Diurnal,37.3 °C,Yes
Dog,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Mammals,Diurnal,37.3 °C,Yes
Dog,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Mammals,Diurnal,37.3 °C,Yes
Dog,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Mammals,Diurnal,37.3 °C,Yes
Dog,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Mammals,Diurnal,37.3 °C,Yes
Dog,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Mammals,Diurnal,37.3 °C,Yes
Dog,Limping,Willnot run to jump,Swelling,Week legs,Pain on leg,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Mammals,Diurnal,37.3 °C,Yes
Dog,Poor coat apperence,Diarrhea,Vomiting,Weight loss,Dehydration,Mammals,Diurnal,37.3 °C,Yes
Dog,Watering,No appp,Vomiting,Lethargy,Dehydration,Mammals,Diurnal,37.3 °C,Yes
Dog,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Mammals,Diurnal,37.3 °C,Yes
Dog,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Mammals,Diurnal,37.3 °C,Yes
Dog,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Mammals,Diurnal,37.3 °C,Yes
Dog,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Mammals,Diurnal,37.3 °C,Yes
Dog,Fever,Anoxeria,Weight loss,Lethargy,Pain,Mammals,Diurnal,37.3 °C,Yes
Dogs,stop eating,stop drinking,change their normal behaviour,Lameness,Pains,Mammals,Diurnal,37.3 °C,Yes
Duck,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Aves,Diurnal,41.5 °C,Yes
Duck,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Aves,Diurnal,41.5 °C,Yes
Duck,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Aves,Diurnal,41.5 °C,Yes
Duck,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Aves,Diurnal,41.5 °C,Yes
Duck,Shortness of breath,Fatigue,chirping,loss of appetite,swollen abdomen,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Eye ulcer,Congestion,Depression,Pink eye,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diarrhea,Coughing,Tiredness,Pains,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Inflammed eye,Coughing,Depression,Limping,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Aves,Diurnal,41.5 °C,Yes
Duck,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Aves,Diurnal,41.5 °C,Yes
Duck,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Aves,Diurnal,41.5 °C,Yes
Duck,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Aves,Diurnal,41.5 °C,Yes
Duck,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Aves,Diurnal,41.5 °C,Yes
Duck,difficulty swallowing,coughÂ ,difficulty swallowing,gasping for air,extending its neck,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diffulty Swallowing,Excessive drooling,Staggering,Seizures,Aves,Diurnal,41.5 °C,Yes
Duck,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Aves,Diurnal,41.5 °C,Yes
Duck,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Aves,Diurnal,41.5 °C,Yes
Duck,loss of appetite,high body temperaure,lack of appetite,diarrhea,sudden death,Aves,Diurnal,41.5 °C,Yes
Duck,Jaundice,PneumoniaÂ ,Lession on the skin,pain,Vomitting,Aves,Diurnal,41.5 °C,Yes
Duck,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Aves,Diurnal,41.5 °C,Yes
Duck,Extreme thirst,bloody discharge,Loss of appetite,inability to fly,loss ofÂ wariness,Aves,Diurnal,41.5 °C,Yes
Duck,burning ache or pain,vomiting,loss of appetite,experiencing changes in weight,Â pain and bloating,Aves,Diurnal,41.5 °C,Yes
Duck,Bleeding from other parts of the body,confusion,Nasal discharge,loss of alertness,dizziness and fainting,Aves,Diurnal,41.5 °C,Yes
Duck,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Aves,Diurnal,41.5 °C,Yes
Duck,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Aves,Diurnal,41.5 °C,Yes
Duck,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Aves,Diurnal,41.5 °C,Yes
Duck,Ulcers,Lesions ,Scabs,Lumps,"Bumps(black,grey or red)",Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Aves,Diurnal,41.5 °C,Yes
Duck,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Aves,Diurnal,41.5 °C,Yes
Duck,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Aves,Diurnal,41.5 °C,Yes
Duck,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Aves,Diurnal,41.5 °C,Yes
Duck,Limping,Willnot run to jump,Swelling,Week legs,Pain on leg,Aves,Diurnal,41.5 °C,Yes
Duck,Loss of eat,Difficulty in breathing,Swelling,Lameness,Neurologic abnormalities,Aves,Diurnal,41.5 °C,Yes
Duck,Nasal Bleeding,Diffulty chewing,Swelling,Weight loss,Anorexia,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Aves,Diurnal,41.5 °C,Yes
Duck,Poor coat apperence,Diarrhea,Vomiting,Weight loss,Dehydration,Aves,Diurnal,41.5 °C,Yes
Duck,Watering,No appp,Vomiting,Lethargy,Dehydration,Aves,Diurnal,41.5 °C,Yes
Duck,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Aves,Diurnal,41.5 °C,Yes
Duck,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Aves,Diurnal,41.5 °C,Yes
Duck,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Aves,Diurnal,41.5 °C,Yes
Duck,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Aves,Diurnal,41.5 °C,Yes
Duck,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Aves,Diurnal,41.5 °C,Yes
Duck,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Aves,Diurnal,41.5 °C,Yes
Duck,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Aves,Diurnal,41.5 °C,Yes
Duck,Excessive eye watering,Eye redness,weakness,Mucus discharge from the eye,Frequent eye Infections,Aves,Diurnal,41.5 °C,Yes
Duck,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Aves,Diurnal,41.5 °C,Yes
Duck,Fever,Anoxeria,Weight loss,Lethargy,Pain,Aves,Diurnal,41.5 °C,Yes
Elephant,Rhinitis,PneumoniaÂ ,abscessess,Torticollis,Septicemia,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Depression,Attack,Bite other animals,Pain,Mammals,Diurnal,37.3 °C,Yes
Elephant,Difficulty in breathing,swelling problem,bleeding from wounds,frequent yawning,anorexia,Mammals,Diurnal,37.3 °C,Yes
Elephant,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,Mammals,Diurnal,37.3 °C,Yes
Elephant,Severe,Diarrhea,Blood on faces,Appetite,Milk reduce,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fluif Faeces on blood and muscle,Sudden Death,Blooody Fluid,Red Diarrhea,Faeces are streake with blood,Mammals,Diurnal,37.3 °C,Yes
Elephant,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,Mammals,Diurnal,37.3 °C,Yes
Elephant,Inability to stand,Diarrhea,Bottle Jaw,Pot belly,Dry Hair coat,Mammals,Diurnal,37.3 °C,Yes
Elephant,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Mammals,Diurnal,37.3 °C,Yes
Elephant,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Mammals,Diurnal,37.3 °C,Yes
Elephant,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Mammals,Diurnal,37.3 °C,Yes
Elephant,changed gait,dull ness,diffuse,difficulty diagnosis,Anemia,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,Mammals,Diurnal,37.3 °C,Yes
Elephant,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,Mammals,Diurnal,37.3 °C,Yes
Elephant,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Mammals,Diurnal,37.3 °C,Yes
Elephant,Swelling on leg,Heat,Hardness,Redness,Pain,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,Mammals,Diurnal,37.3 °C,Yes
Elephant,swollen,red-colored,hot udder,Milk getting out more watery,Milk getting out more thick,Mammals,Diurnal,37.3 °C,Yes
Elephant,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Mammals,Diurnal,37.3 °C,Yes
Elephant,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Mammals,Diurnal,37.3 °C,Yes
Elephant,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Slightly Swollen,Lession on the skin,Milky Hard,Papules appear on teats anad udder,Mammals,Diurnal,37.3 °C,Yes
Elephant,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Mammals,Diurnal,37.3 °C,Yes
Elephant,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Mammals,Diurnal,37.3 °C,Yes
Elephant,undernutrition,drinking polluted water,listlessness,Staggering,anorexia,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,weakened legs,los of the ability to walk,Mammary glads,Fluif filled blisters,Mammals,Diurnal,37.3 °C,Yes
Elephant,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness,Mammals,Diurnal,37.3 °C,Yes
Elephant,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,Mammals,Diurnal,37.3 °C,Yes
Elephant,Excitability,Nervousness,loss of appetite,Hyper sensitivity,Weakness,Mammals,Diurnal,37.3 °C,Yes
